Razão Social,CNPJ,DMS Atacadista/Distribuidor,Gestão de Entrega,Roteirizador,TMS Embarcador,Trizy - APP,Trizy - YMS
C. IRMAOS INDUSTRIA DE BEBIDAS LTDA,08.190.634/0001-66,1,,,,,
CABOCLO DISTRIBUIDOR LTDA,60.959.160/0001-94,1,,,,,
CABRAL & SOUSA LTDA,14.273.817/0003-00,1,,,,,
Cacique Combustiveis Ltda,08.986.525/0006-64,,,,,,1
CADAN DISTRIBUICAO,70.089.974/0001-79,1,,,,,
CAFE DO SITIO INDUSTRIA E COMERCIO LTDA,00.452.102/0001-48,1,,,,,
CALVO,00.640.071/0001-59,,,1,,,
CAMAQUA DISTRIBUIDORA LTDA,07.061.124/0001-26,1,,,,,
Camil (Tech Chapecó),00.000.000/0000-00,,,,,,1
CAMIL ALIMENTOS S.A.,64.904.295/0043-62,,,,1,,
CAMPEAO DISTRIBUIDORA,12.033.987/0001-20,1,,,,,
CAMPO GRANDE DISTRIBUIDOR DE BATERIAS LTDA,13.460.739/0001-28,1,,,,,
,13.460.739/0002-09,1,,,,,
CAMPO LIMPO DISTRIBUIDORA DE BATERIAS LTDA,43.209.400/0001-14,1,,,,,
CAMPOS GERAIS COMERCIO DE BATERIAS LTDA,50.237.234/0001-25,1,,,,,
CANDIDO E CANDIDO COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,20.001.243/0001-51,,,1,,,
CANDY COMERCIO DE ALIMENTOS EIRELI,02.642.677/0001-59,,,1,,,
Caramuru Alimentos S.A.,00.080.671/0001-00,,,,,,1
CARDAO COMERCIO E IMPORTACAO LTDA,02.039.540/0001-04,1,,,,,
,02.039.540/0003-76,1,,,,,
Carrefour (Tech Chapecó),00.000.000/0000-00,,,,,,1
CARREFOUR COMERCIO E INDUSTRIA LTDA,45.543.915/0001-81,,,,2,,
CARRIERS LOGISTICA E TRANSPORTE LTDA,10.520.136/0001-86,,,1,,,
CASA CARDAO LTDA,32.287.542/0001-83,1,,,,,
CASA CONTENTE COMERCIO DE MOVEIS LTDA,13.364.464/0001-29,1,,,,,
CASA DE CARNES COMERCIO E DISTRIBUICAO LTDA,01.228.538/0001-10,1,,,,,
CASA DO CONFEITEIRO,54.511.167/0001-46,1,,,,,
CASA DO QUEIJO,79.943.627/0001-36,,,1,,,
CASA MATTOS LTDA,19.525.302/0017-79,1,,,,,
CASA NUNES MARTINS S A IMPORTADORA E EXPORTADORA,33.113.077/0001-27,1,,,,,
CASA PADIM ATACADO DISTRIBUIDOR DE ALIMENTOS LTDA,05.505.281/0001-58,1,,,,,
CASCAVEL DISTRIBUIDORA DE BATERIAS LTDA,46.409.085/0001-67,1,,,,,
CASSOL MATERIAIS DE CONSTRUCAO LTDA,75.400.218/0001-32,,,,1,,
CASTRO NAVES COMERCIO E SERVICOS DE DISTRIBUICAO S.A.,03.341.743/0001-13,1,,,,,
CAXIAS DO SUL DISTRIBUIDORA DE BATERIAS LTDA,42.975.753/0001-62,1,,,,,
CBMM,00.000.000/0000-00,,,,,,1
CCN - COMERCIAL CENTRO NORTE ALIMENTOS LTDA,08.638.790/0001-47,1,,,,,
CDA - COMPANHIA DE DISTRIBUICAO ARAGUAIA,26.651.646/0001-22,1,,,,,
CEARA DISTRIBUIDORA DE ALIMENTOS LTDA,07.133.563/0001-05,1,,,,,
CEBRACE CRISTAL PLANO LTDA,45.070.190/0002-32,,,,1,,
CEDAN TRANSPORTES,40.932.450/0001-37,1,,,,,
CEDEP COMERCIO LTDA,14.076.889/0002-86,1,,,,,
CENTERBOX SUPERMERCADOS LTDA,11.497.712/0001-84,1,,,,,
CENTRO OESTE DISTRIBUIDORA DE PECAS,16.537.746/0001-79,1,,,,,
CENTROLI INDUSTRIA E COMERCIO LTDA,24.509.214/0001-56,1,,,,,
CENTROLOG LOGISTICA E TRANSPORTE LTDA,10.263.004/0001-16,1,,,,,
CEREAIS DO NICO LTDA,31.804.115/0001-62,1,,,,,
Cereal Comercio Exportacao E Representacao Agropecuaria S/A,00.012.377/0001-60,,,,,,1
CEREALISTA CAMPO GRANDE LTDA,25.829.953/0001-98,1,,,,,
CERENNIA DISTRIBUIDORA LTDA,41.752.207/0001-08,1,,,,,
CERTO DISTRIBUICAO LTDA,25.100.371/0001-76,1,,,,,
CESCOM CESCONETO COMERCIAL LTDA,27.724.509/0001-33,1,,,,,
CESCONETTO ATACADO,06.967.098/0001-37,1,,,,,
CESCONETTO INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,11.727.497/0001-60,1,,,,,
CESTAS BOAMESA,23.030.471/0001-48,1,,,,,
CEU DE PRATA,26.247.418/0001-91,,,1,,,
CF DISTRIBUIDORA DE ALIMENTOS LTDA,04.267.390/0001-11,1,,,,,
CHAPECOENSE COMERCIO DE BATERIAS LTDA,23.493.689/0001-39,1,,,,,
,23.493.689/0002-10,1,,,,,
CHEF BOB,26.722.573/0001-12,,,1,,,
CHEGATTO COMERCIO DE RACAO LTDA.,07.801.928/0001-14,1,,,,,
CHP SOLUCOES LTDA,11.007.847/0001-14,,1,,,,
CHUA DISTRIBUIDORA DE ALIMENTOS E REPRESENTACOES S/A,19.199.702/0003-36,1,,,,,
Cianport - Cia Norte De Navegacao E Portos,14.789.807/0001-60,,,,,,1
CIGAME COMERCIO DE MATERIAL ELETRICO E HIDRAULICO LTDA,09.721.504/0001-75,1,,,,,
CIMED,16.619.378/0004-50,,1,,,,
